id,quesm2,ativcolm2,forum5,forum6,forum7,ativcolm2r,quesm2r,forum8,forum2r,aprovado,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r
2060,1,1,1,1,0,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2098,1,0,0,1,0,1,1,1,0,Sim,0,1,0,0,0,0,0,1,1
2100,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2102,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2140,0,1,0,0,0,0,0,1,0,Não,1,0,1,1,0,1,1,0,0
2145,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2158,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2164,0,0,0,1,0,1,1,0,1,Sim,0,0,1,1,1,0,1,0,0
2248,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2293,1,1,1,0,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2319,1,1,0,0,1,1,0,0,1,Sim,1,1,1,1,1,1,1,1,0
2325,0,0,1,1,1,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
2337,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2342,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2346,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
2378,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2399,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2407,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,1,0
2408,1,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2410,1,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
2423,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,1,0,0
2434,1,0,1,0,1,0,0,0,0,Não,1,0,0,1,0,1,1,0,0
2442,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2444,1,0,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,0,0,0
2448,0,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,1,0
2452,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2472,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2480,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2481,1,0,0,0,0,1,1,0,1,Não,0,1,0,0,0,0,0,0,0
2483,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2522,1,0,1,1,1,1,1,1,1,Sim,1,1,1,1,1,1,1,0,0
2539,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
2561,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
2568,1,1,0,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
2579,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2618,1,1,1,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2619,1,1,1,1,1,0,1,1,0,Sim,1,0,1,1,1,1,1,0,0
2620,0,1,1,0,1,0,1,1,0,Sim,1,1,1,1,1,0,0,0,0
2623,1,1,0,0,0,1,1,0,1,Sim,0,1,0,0,0,0,0,0,1
2644,1,1,1,1,0,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2655,1,1,1,1,0,0,0,1,0,Não,0,1,1,1,1,1,0,0,1
2666,0,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2698,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2715,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2723,1,1,1,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2727,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
2730,0,0,1,1,0,0,0,1,0,Não,1,1,1,1,1,0,0,0,1
2740,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2746,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2757,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2777,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2782,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2790,1,0,1,0,0,0,0,0,0,Não,0,0,1,0,0,0,1,0,0
2795,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2796,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2799,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2828,1,1,1,1,0,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
2837,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2840,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2849,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2857,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,1,0
2859,0,0,1,1,0,0,1,1,1,Não,1,0,1,1,1,1,0,1,0
2874,1,1,1,0,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2875,1,1,1,1,1,0,0,1,0,Não,0,0,1,1,1,1,0,0,0
2903,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,0,0,0
2921,1,0,0,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2928,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2930,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2936,1,1,1,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
2947,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2955,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
2958,0,0,1,1,1,1,1,1,1,Não,1,0,1,1,1,1,1,0,0
3018,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,1,0
3023,0,1,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
3057,0,1,0,1,1,0,0,0,1,Sim,1,1,1,1,1,1,1,0,1
3058,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3061,1,1,1,1,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
3068,0,1,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3078,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3101,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3105,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3106,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,0,0
3124,1,1,1,1,1,1,0,0,0,Sim,0,1,1,1,1,0,0,0,1
3131,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
3140,1,1,0,0,0,0,1,0,0,Sim,0,1,1,1,1,1,0,0,0
3148,1,1,1,0,0,0,1,0,0,Sim,1,1,1,1,1,1,1,0,0
3149,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3158,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3174,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,0,1,1
3196,0,0,0,0,0,0,0,0,0,Não,0,1,1,1,1,1,0,0,0
3199,1,1,1,0,1,0,1,1,0,Não,0,1,0,0,0,0,0,1,1
3216,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3222,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,0,0,1,0,0
3248,1,1,0,0,1,1,1,0,1,Sim,0,1,1,1,1,1,1,1,1
3258,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3261,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3271,0,0,1,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3277,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
3279,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3280,0,1,1,0,1,1,1,1,0,Sim,1,1,1,1,1,1,1,0,0
3283,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3301,1,0,0,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3332,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3364,1,0,1,0,1,0,1,1,0,Sim,0,1,1,1,1,1,1,1,0
3386,1,0,1,1,1,0,1,1,0,Sim,1,0,1,1,1,1,0,0,0
3407,1,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
3424,0,0,1,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,1,0
3425,1,0,0,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3430,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3432,1,0,1,1,1,0,1,1,1,Sim,0,1,1,1,1,0,0,0,0
3437,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3501,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,0,0,0
3507,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3512,1,1,1,0,0,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3528,0,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3538,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3572,1,1,0,0,0,1,1,0,1,Sim,1,0,1,1,1,1,1,0,0
3585,0,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
3604,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3610,1,0,1,1,0,0,1,1,1,Não,1,1,1,1,1,1,0,1,1
3616,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3641,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3645,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3657,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,1,0,0
3663,1,0,0,0,0,0,0,0,0,Não,1,1,1,1,1,0,0,0,0
3664,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
3667,1,1,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
3669,1,1,1,1,1,1,0,1,0,Sim,1,0,0,0,1,1,1,0,1
3676,1,1,1,1,0,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3690,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3707,1,1,1,1,0,0,0,1,0,Sim,0,0,1,1,1,0,1,0,0
3726,1,1,0,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
3747,1,1,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
3748,0,0,0,0,0,0,0,0,0,Não,1,1,1,1,1,1,1,1,0
3750,1,1,1,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
3756,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3758,1,0,0,0,0,0,1,0,1,Sim,1,1,1,1,1,1,0,0,0
3764,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
3768,1,1,1,1,0,0,0,0,0,Sim,0,0,1,1,1,1,1,0,0
3777,1,1,0,0,0,1,1,0,1,Sim,1,0,1,1,1,0,1,0,0
3782,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3784,1,0,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
3787,0,0,0,0,0,0,0,0,0,Não,0,1,1,1,1,1,0,0,1
3790,0,0,1,0,1,1,1,1,1,Não,0,1,1,1,1,1,0,1,1
3791,1,1,1,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3795,1,1,0,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3822,0,1,1,0,1,1,1,1,0,Sim,0,1,1,1,1,1,1,1,0
3829,1,1,1,1,1,1,1,1,1,Não,1,1,1,1,1,1,0,0,1
3841,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,0,0,0,0
3843,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3845,1,1,1,1,1,0,0,1,0,Não,0,1,0,0,0,1,0,1,0
3881,1,1,1,1,1,0,0,1,0,Não,0,0,1,1,1,1,1,0,0
3897,1,1,1,1,1,0,0,0,0,Sim,0,1,1,1,1,1,1,0,0
3906,1,1,0,0,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
